City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,minas de marcona,-15.2119,-75.1103,16.73,87,37,2.2,PE,1713787712
230,port lincoln,-34.7333,135.8667,16.94,58,29,1.75,AU,1713787713
231,leer,53.2316,7.461,10.56,68,100,0.45,DE,1713787715
232,soure,-0.7167,-48.5233,25.65,87,100,0.2,BR,1713787717
233,nadym,65.5333,72.5167,-9.13,90,100,9.83,RU,1713787668
234,codrington,-38.2667,141.9667,10.98,64,42,3.1,AU,1713787720
235,papao,-17.75,-149.55,24.81,78,49,2.74,PF,1713787721
236,talodi,10.6325,30.3797,40.75,17,21,3.49,SD,1713787723
237,morehead city,34.7229,-76.726,12.0,79,100,5.66,US,1713787724
238,moose jaw,50.4001,-105.5344,4.98,94,72,9.47,CA,1713787726
239,gallup,35.5281,-108.7426,0.42,64,0,0.0,US,1713787728
240,hadsund,56.7148,10.1168,7.19,54,75,5.86,DK,1713787553
241,al burayqah,30.4062,19.5739,33.94,19,100,9.85,LY,1713787730
242,port macquarie,-31.4333,152.9167,16.05,71,25,1.49,AU,1713787570
243,darwin,-12.4611,130.8418,25.99,76,0,1.54,AU,1713787734
244,coahuayana de hidalgo,18.7,-103.6583,20.98,81,3,1.59,MX,1713787735
245,hermanus,-34.4187,19.2345,22.67,70,33,4.12,ZA,1713787737
246,winnemucca,40.973,-117.7357,8.96,36,97,2.66,US,1713787738
247,ocean shores,46.9737,-124.1563,5.57,88,0,1.79,US,1713787740
248,kapiri mposhi,-13.9652,28.6809,28.37,31,0,2.15,ZM,1713787742
249,enewetak,11.3474,162.3373,27.73,79,59,8.13,MH,1713787744
250,flying fish cove,-10.4217,105.6791,27.82,89,100,5.66,CX,1713787746
251,mbuguni,-3.5667,36.95,27.98,54,76,2.29,TZ,1713787747
252,demba,-5.51,22.2667,34.17,39,15,2.28,CD,1713787749
253,fort st. john,56.2499,-120.8529,2.3,95,78,2.4,CA,1713787472
254,sittwe,20.15,92.9,29.03,83,42,6.12,MM,1713787752
255,margate,51.3813,1.3862,11.28,56,38,1.34,GB,1713787753
256,nelson bay,-32.7167,152.15,18.33,89,40,0.45,AU,1713787574
257,portland,45.5234,-122.6762,7.27,86,0,1.79,US,1713787757
258,praia,14.9215,-23.5087,28.3,44,20,6.69,CV,1713787758
259,akjoujt,19.6969,-14.4164,34.68,12,4,2.86,MR,1713787760
260,galveston,29.3669,-94.9669,16.11,76,0,4.12,US,1713787762
261,tolanaro,-25.0319,46.9987,24.58,69,5,2.91,MG,1713787765
262,boiling springs,35.0465,-81.9818,9.16,74,100,2.06,US,1713787767
263,pionerskiy,54.9508,20.2275,3.97,97,100,10.43,RU,1713787768
264,chonchi,-42.6128,-73.8092,6.73,95,100,0.75,CL,1713787770
265,luganville,-15.5333,167.1667,26.9,89,75,0.93,VU,1713787772
266,bardai,11.65,7.2333,38.65,17,79,2.61,NG,1713787774
267,poxoreo,-15.8372,-54.3892,26.52,68,42,2.37,BR,1713787776
268,saint-leu,-21.15,55.2833,29.46,81,9,1.16,RE,1713787777
269,ola,59.5833,151.2833,-0.48,91,34,1.1,RU,1713787780
270,punata,-17.55,-65.8333,17.25,67,43,1.91,BO,1713787784
271,susz,53.7174,19.3365,4.91,67,100,0.45,PL,1713787787
272,peace river,56.2501,-117.286,7.03,60,50,2.75,CA,1713787788
273,runka,12.4479,7.3092,40.35,17,73,3.59,NG,1713787790
274,mahajanga,-15.7167,46.3167,31.68,58,4,3.44,MG,1713787792
275,pechora,65.1472,57.2244,-7.3,73,96,5.36,RU,1713787793
276,tobelo,1.7284,128.0095,27.79,82,58,1.78,ID,1713787795
277,san patricio,28.017,-97.5169,18.8,72,55,3.49,US,1713787797
278,pangody,65.85,74.4859,-10.27,91,100,8.01,RU,1713787799
279,dzhetygara,52.1908,61.2006,25.69,29,4,5.18,KZ,1713787801
280,hithadhoo,-0.6,73.0833,29.52,70,99,0.85,MV,1713787803
281,andkhoy,36.9529,65.1238,31.02,14,0,3.57,AF,1713787805
282,jayapura,-2.5333,140.7,26.66,81,88,2.79,ID,1713787208
283,lihue,21.9789,-159.3672,21.77,69,20,7.72,US,1713787808
284,new norfolk,-42.7826,147.0587,13.72,95,100,1.54,AU,1713787810
285,kawant,22.1,74.05,36.81,17,30,6.72,IN,1713787812
286,guanica,17.9716,-66.908,27.77,66,2,2.3,PR,1713787813
287,la'ie,21.6477,-157.9253,23.98,75,50,4.02,US,1713787815
288,daru,-9.0763,143.2092,27.45,88,100,4.28,PG,1713787816
289,suntar,62.1444,117.6319,0.13,99,100,1.13,RU,1713787819
290,saint-philippe,-21.3585,55.7679,28.77,83,27,0.46,RE,1713787821
291,iskateley,67.6803,53.1512,-9.43,90,88,1.79,RU,1713787823
292,avarua,-21.2078,-159.775,25.03,78,59,3.6,CK,1713787824
293,ta`u,-14.2336,-169.5144,28.44,79,31,5.88,AS,1713787826
294,okha,53.5739,142.9478,-3.75,95,25,1.79,RU,1713787827
295,le port,-20.9373,55.2919,29.98,80,11,0.64,RE,1713787829
296,xinyuan,37.3,99.0,5.39,20,92,5.83,CN,1713787831
297,sapiranga,-29.6381,-51.0069,22.29,86,96,0.5,BR,1713787841
298,kailua-kona,19.6406,-155.9956,23.98,87,40,3.09,US,1713787846
299,vilhena,-12.7406,-60.1458,22.68,97,100,1.47,BR,1713787849
300,mtwara,-10.2667,40.1833,29.05,76,100,4.97,TZ,1713787850
301,fortuna,40.5982,-124.1573,5.51,100,0,4.12,US,1713787852
302,moyynkum,44.2914,72.9469,25.81,22,2,6.43,KZ,1713787854
303,onsong,42.9572,129.9933,6.18,93,94,3.57,KP,1713787856
304,callao,-12.0667,-77.15,23.73,78,0,2.57,PE,1713787857
305,gordonvale,-17.0936,145.7842,23.88,79,8,2.31,AU,1713787859
306,ilhabela,-23.7781,-45.3581,24.51,66,0,0.22,BR,1713787861
307,inirida,3.8653,-67.9239,23.87,98,100,0.56,CO,1713787862
308,afaahiti,-17.75,-149.2833,23.92,81,64,3.41,PF,1713787865
309,shwebo,22.5667,95.7,38.41,21,66,1.92,MM,1713787867
310,al ghayzah,16.2079,52.176,30.77,56,12,6.75,YE,1713787868
311,brookings,44.3114,-96.7984,7.83,60,0,7.72,US,1713787870
312,villa gesell,-37.2639,-56.973,15.59,62,99,9.62,AR,1713787871
313,fuerte olimpo,-21.0415,-57.8738,28.1,63,0,3.36,PY,1713787873
314,neryungri,56.6709,124.6491,0.66,99,100,1.1,RU,1713787876
315,galesong,-5.3166,119.3661,28.01,78,99,1.01,ID,1713787878
316,rongelap,11.1635,166.8941,27.61,77,97,6.85,MH,1713787881
317,canico,32.6333,-16.85,20.62,73,75,4.63,PT,1713787882
318,mount gambier,-37.8333,140.7667,11.24,50,62,2.25,AU,1713787884
319,poronaysk,49.2167,143.1167,1.98,88,100,2.53,RU,1713787885
320,port augusta,-32.5,137.7667,19.61,37,4,2.33,AU,1713787887
321,coquimbo,-29.9533,-71.3436,16.29,79,89,1.36,CL,1713787889
322,kidal,18.4411,1.4078,41.27,6,64,4.77,ML,1713787892
323,bridgewater,44.3835,-64.5155,7.28,79,52,2.68,CA,1713787901
324,ascension,30.2169,-90.9001,11.67,74,0,2.57,US,1713787905
325,ivdel',60.6911,60.4206,4.55,77,85,4.02,RU,1713787906
326,saint-francois,46.4154,3.9054,7.69,57,100,6.17,FR,1713787908
327,al mijlad,11.0333,27.7333,42.67,13,19,4.9,SD,1713787910
328,nar'yan-mar,67.6713,53.087,-9.38,90,87,1.79,RU,1713787911
329,wuhu,31.3366,118.3755,18.16,83,42,3.97,CN,1713787873
330,tvoroyri,61.5556,-6.8111,6.98,79,26,2.91,FO,1713787916
331,diamantino,-14.4086,-56.4461,24.66,90,85,2.8,BR,1713787917
332,kolonia,50.9333,6.95,10.32,53,0,2.57,DE,1713787919
333,saguenay,48.4168,-71.0657,-7.18,57,37,2.68,CA,1713787921
334,gaspe,48.8334,-64.4819,2.26,82,81,5.1,CA,1713787922
335,bamboo flat,11.7,92.7167,31.05,70,20,2.57,IN,1713787924
336,arkhangel'sk,64.5401,40.5433,2.06,55,40,9.0,RU,1713787840
337,acapulco de juarez,16.8634,-99.8901,21.9,83,40,2.06,MX,1713787927
338,siloam springs,36.1881,-94.5405,3.47,100,0,0.0,US,1713787928
339,las lomitas,-24.7096,-60.593,27.49,67,43,4.1,AR,1713787930
340,gisborne,-38.6533,178.0042,12.56,81,65,7.08,NZ,1713787931
341,bharthana,26.7571,79.2248,38.88,10,0,6.67,IN,1713787933
342,padre bernardo,-15.35,-48.5,24.86,63,7,2.69,BR,1713787934
343,carauari,-4.8828,-66.8958,24.58,95,96,0.56,BR,1713787935
344,hamilton,39.1834,-84.5333,5.97,86,75,0.45,US,1713787937
345,alofi,-19.0595,-169.9187,21.94,94,97,1.03,NU,1713787771
346,san julian,21.0167,-102.1667,12.82,87,5,2.48,MX,1713787940
347,nezhinka,51.7676,55.3694,28.09,26,0,6.0,RU,1713787941
348,pointe aux piments,-20.0628,57.5131,29.17,83,16,3.02,MU,1713787943
349,kasongo-lunda,-6.4667,16.8167,33.69,47,50,1.24,CD,1713787945
350,mahina,-17.5065,-149.489,24.86,88,75,2.06,PF,1713787946
351,panaba,21.2833,-88.2667,21.16,94,5,1.75,MX,1713787948
352,lichuan,30.3,108.85,11.98,98,100,0.51,CN,1713787949
353,labytnangi,66.6572,66.4183,-10.35,78,52,5.61,RU,1713787950
354,mount isa,-20.7333,139.5,16.87,67,27,2.06,AU,1713787817
355,sidney,-33.8679,151.2073,18.17,85,0,0.45,AU,1713787918
356,krasnyy yar,46.5331,48.3456,25.96,28,97,5.2,RU,1713787955
357,kingston,17.997,-76.7936,26.76,80,7,0.85,JM,1713787956
358,isiolo,0.3546,37.5822,26.69,58,91,1.97,KE,1713787958
359,ntcheu,-14.8203,34.6359,26.15,43,0,1.87,MW,1713787959
360,monrovia,6.3005,-10.7969,28.87,72,100,3.47,LR,1713787373
361,burgersdorp,-30.9977,26.3286,25.54,31,94,9.75,ZA,1713787965
362,san ildefonso,15.0809,120.941,32.21,73,38,2.31,PH,1713787931
363,bel ombre,-4.6167,55.4167,26.91,89,40,2.06,SC,1713787967
